Potential/V,Current/A
0.749,0.1183
0.75,0.1188
0.751,0.1193
0.752,0.1198
0.753,0.1202
0.754,0.1207
0.755,0.1212
0.756,0.1217
0.757,0.1222
0.758,0.1227
0.759,0.1232
0.76,0.1237
0.761,0.1242
0.762,0.1247
0.763,0.1252
0.764,0.1257
0.765,0.1262
0.766,0.1266
0.767,0.1272
0.768,0.1277
0.769,0.1282
0.77,0.1287
0.771,0.1292
0.772,0.1297
0.773,0.1302
0.774,0.1307
0.775,0.1312
0.776,0.1317
0.777,0.1322
0.778,0.1327
0.779,0.1332
0.78,0.1337
0.781,0.1342
0.782,0.1347
0.783,0.1352
0.784,0.1357
0.785,0.1362
0.786,0.1367
0.787,0.1373
0.788,0.1377
0.789,0.1382
0.79,0.1387
0.791,0.1392
0.792,0.1397
0.793,0.1402
0.794,0.1407
0.795,0.1412
0.796,0.1416
0.797,0.1422
0.798,0.1427
0.799,0.1432
0.8,0.1437
0.801,0.1442
0.802,0.1447
0.803,0.1452
0.804,0.1456
0.805,0.1461
0.806,0.1466
0.807,0.1472
0.808,0.1477
0.809,0.1482
0.81,0.1486
0.811,0.1491
0.812,0.1496
0.813,0.1502
0.814,0.1507
0.815,0.1512
0.816,0.1517
0.817,0.1522
0.818,0.1527
0.819,0.1533
0.82,0.1538
0.821,0.1543
0.822,0.1547
0.823,0.1552
0.824,0.1557
0.825,0.1562
0.826,0.1567
0.827,0.1572
0.828,0.1577
0.829,0.1582
0.83,0.1587
0.831,0.1592
0.832,0.1597
0.833,0.1601
0.834,0.1606
0.835,0.1612
0.836,0.1617
0.837,0.1622
0.838,0.1627
0.839,0.1633
0.84,0.1638
0.841,0.1643
0.842,0.1648
0.843,0.1653
0.844,0.1658
0.845,0.1663
0.846,0.1668
0.847,0.1673
0.848,0.1678
0.849,0.1683
0.85,0.1687
0.851,0.1692
0.852,0.1698
0.853,0.1703
0.854,0.1708
0.855,0.1714
0.856,0.1718
0.857,0.1723
0.858,0.1728
0.859,0.1734
0.86,0.1739
0.861,0.1744
0.862,0.1749
0.863,0.1753
0.864,0.1758
0.865,0.1763
0.866,0.1768
0.867,0.1773
0.868,0.1778
0.869,0.1783
0.87,0.1789
0.871,0.1794
0.872,0.1799
0.873,0.1805
0.874,0.1811
0.875,0.1816
0.876,0.1821
0.877,0.1826
0.878,0.1831
0.879,0.1835
0.88,0.184
0.881,0.1845
0.882,0.185
0.883,0.1855
0.884,0.186
0.885,0.1865
0.886,0.1869
0.887,0.1874
0.888,0.188
0.889,0.1887
0.89,0.1894
0.891,0.19
0.892,0.1905
0.893,0.191
0.894,0.1915
0.895,0.192
0.896,0.1925
0.897,0.193
